2025-05-28T19:38:17.420Z | INFO | Server started on port 3000
2025-05-28T19:38:17.482Z | INFO | MongoDB Connected
2025-05-28T19:38:17.520Z | INFO | Redis Connected
2025-05-28T19:38:36.168Z | INFO | GET /customers called
2025-05-28T19:38:44.217Z | INFO | GET /orders called
2025-05-28T19:40:14.502Z | INFO | Server started on port 3000
2025-05-28T19:40:14.527Z | INFO | Redis Connected
2025-05-28T19:40:14.535Z | INFO | MongoDB Connected
2025-05-28T19:40:24.724Z | INFO | Server started on port 3000
2025-05-28T19:40:24.753Z | INFO | Redis Connected
2025-05-28T19:40:24.762Z | INFO | MongoDB Connected
2025-05-28T19:42:20.261Z | INFO | Server started on port 3000
2025-05-28T19:42:20.284Z | INFO | Redis Connected
2025-05-28T19:42:20.295Z | INFO | MongoDB Connected
2025-05-28T19:42:27.884Z | INFO | GET /orders called
2025-05-28T19:42:36.906Z | INFO | Server started on port 3000
2025-05-28T19:42:36.938Z | INFO | Redis Connected
2025-05-28T19:42:36.947Z | INFO | MongoDB Connected
2025-05-28T19:42:42.549Z | INFO | GET /orders called
2025-05-28T19:46:39.182Z | INFO | Server started on port 3000
2025-05-28T19:46:39.208Z | INFO | Redis Connected
2025-05-28T19:46:39.221Z | INFO | MongoDB Connected
2025-05-28T20:36:12.620Z | INFO | Server started on port 3000
2025-05-28T20:36:12.645Z | INFO | MongoDB Connected
2025-05-28T20:36:12.656Z | INFO | Redis Connected
2025-05-28T20:38:51.041Z | INFO | Server started on port 3000
2025-05-28T20:38:51.089Z | INFO | MongoDB Connected
2025-05-28T20:38:51.095Z | INFO | Redis Connected
2025-05-28T20:51:36.353Z | INFO | Server started on port 3000
2025-05-28T20:51:36.390Z | INFO | MongoDB Connected
2025-05-28T20:51:36.393Z | INFO | Redis Connected
2025-05-28T20:51:47.490Z | INFO | Server started on port 3000
2025-05-28T20:51:47.531Z | INFO | MongoDB Connected
2025-05-28T20:51:47.534Z | INFO | Redis Connected
2025-05-28T20:56:26.390Z | INFO | Server started on port 3000
2025-05-28T20:56:26.406Z | INFO | Redis Connected
2025-05-28T20:56:26.416Z | INFO | MongoDB Connected
2025-05-28T20:56:47.162Z | INFO | Server started on port 3000
2025-05-28T20:56:47.198Z | INFO | Redis Connected
2025-05-28T20:56:47.212Z | INFO | MongoDB Connected
2025-05-28T20:56:54.366Z | INFO | Server started on port 3000
2025-05-28T20:56:54.397Z | INFO | Redis Connected
2025-05-28T20:56:54.407Z | INFO | MongoDB Connected
2025-05-28T20:58:19.097Z | INFO | Server started on port 3000
2025-05-28T20:58:19.127Z | INFO | Redis Connected
2025-05-28T20:58:19.137Z | INFO | MongoDB Connected
2025-05-28T20:58:34.853Z | INFO | Server started on port 3000
2025-05-28T20:58:34.891Z | INFO | Redis Connected
2025-05-28T20:58:34.906Z | INFO | MongoDB Connected
2025-05-28T21:04:28.039Z | INFO | Server started on port 3000
2025-05-28T21:04:28.070Z | INFO | Redis Connected
2025-05-28T21:04:28.079Z | INFO | MongoDB Connected
2025-05-28T21:04:39.474Z | INFO | Server started on port 3000
2025-05-28T21:04:39.501Z | INFO | Redis Connected
2025-05-28T21:04:39.512Z | INFO | MongoDB Connected
2025-05-28T21:04:54.237Z | INFO | Server started on port 3000
2025-05-28T21:04:54.272Z | INFO | Redis Connected
2025-05-28T21:04:54.281Z | INFO | MongoDB Connected
2025-05-28T21:05:14.885Z | INFO | Server started on port 3000
2025-05-28T21:05:14.912Z | INFO | Redis Connected
2025-05-28T21:05:14.922Z | INFO | MongoDB Connected
2025-05-28T21:05:47.167Z | INFO | Server started on port 3000
2025-05-28T21:05:47.206Z | INFO | Redis Connected
2025-05-28T21:05:47.217Z | INFO | MongoDB Connected
2025-05-28T21:06:08.192Z | INFO | Server running on port 3000
2025-05-28T21:06:08.222Z | INFO | Redis Connected
2025-05-28T21:06:08.230Z | INFO | MongoDB Connected
2025-05-28T21:06:16.428Z | INFO | Server running on port 3000
2025-05-28T21:06:16.454Z | INFO | Redis Connected
2025-05-28T21:06:16.462Z | INFO | MongoDB Connected
2025-05-28T21:21:16.976Z | INFO | Server running on port 3000
2025-05-28T21:21:17.001Z | INFO | Redis Connected
2025-05-28T21:21:17.010Z | INFO | MongoDB Connected
2025-05-28T21:26:37.616Z | INFO | Server running on port 3000
2025-05-28T21:26:37.659Z | INFO | MongoDB Connected
2025-05-28T21:26:37.662Z | INFO | Redis Connected
2025-05-28T21:26:45.230Z | INFO | Server running on port 3000
2025-05-28T21:26:45.257Z | INFO | Redis Connected
2025-05-28T21:26:45.265Z | INFO | MongoDB Connected
2025-05-28T21:35:39.161Z | INFO | Server running on port 3000
2025-05-28T21:35:39.198Z | INFO | MongoDB Connected
2025-05-28T21:35:39.200Z | INFO | Redis Connected
2025-05-28T21:36:19.587Z | INFO | Server running on port 3000
2025-05-28T21:36:19.626Z | INFO | MongoDB Connected
2025-05-28T21:36:19.629Z | INFO | Redis Connected
2025-05-28T21:36:59.590Z | INFO | Server running on port 3000
2025-05-28T21:36:59.615Z | INFO | Redis Connected
2025-05-28T21:36:59.624Z | INFO | MongoDB Connected
2025-05-28T21:39:39.528Z | INFO | Server running on port 3000
2025-05-28T21:39:39.555Z | INFO | Redis Connected
2025-05-28T21:39:39.563Z | INFO | MongoDB Connected
2025-05-28T21:48:00.407Z | INFO | Server running on port 3000
2025-05-28T21:48:00.435Z | INFO | Redis Connected
2025-05-28T21:48:00.444Z | INFO | MongoDB Connected
2025-05-29T08:38:28.475Z | INFO | Server running on port 3000
2025-05-29T08:38:28.501Z | INFO | MongoDB Connected
2025-05-29T08:38:28.514Z | INFO | Redis Connected
2025-05-29T08:44:07.136Z | INFO | Server running on port 3000
2025-05-29T08:44:07.161Z | INFO | MongoDB Connected
2025-05-29T08:44:07.163Z | INFO | Redis Connected
2025-05-29T08:47:43.634Z | INFO | Server running on port 3000
2025-05-29T08:47:43.658Z | INFO | MongoDB Connected
2025-05-29T08:47:43.660Z | INFO | Redis Connected
2025-05-29T08:59:03.216Z | INFO | Server running on port 3000
2025-05-29T08:59:03.234Z | INFO | MongoDB Connected
2025-05-29T08:59:03.237Z | INFO | Redis Connected
2025-05-29T09:12:55.727Z | INFO | Server running on port 3000
2025-05-29T09:12:55.767Z | INFO | MongoDB Connected
2025-05-29T09:12:55.783Z | INFO | Redis Connected
2025-05-29T09:54:52.443Z | INFO | Server running on port 3000
2025-05-29T09:54:52.482Z | INFO | MongoDB Connected
2025-05-29T09:54:52.512Z | INFO | Redis Connected
2025-05-29T09:57:47.398Z | INFO | Server running on port 3000
2025-05-29T09:57:47.424Z | INFO | MongoDB Connected
2025-05-29T09:57:47.426Z | INFO | Redis Connected
2025-05-29T10:24:56.505Z | INFO | Server running on port 3000
2025-05-29T10:24:56.531Z | INFO | MongoDB Connected
2025-05-29T10:24:56.567Z | INFO | Redis Connected
2025-05-30T04:46:33.079Z | INFO | Server running on port 3000
2025-05-30T04:46:33.121Z | INFO | MongoDB Connected
2025-05-30T04:46:33.126Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:33.156Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:33.219Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:33.331Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:33.488Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:33.694Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:33.961Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:34.273Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:34.635Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:35.042Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:35.508Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:36.020Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:36.535Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:37.051Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:37.561Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:38.080Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:38.596Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:39.116Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:39.619Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:40.125Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:40.631Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:41.135Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:41.641Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:42.148Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:42.655Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:43.161Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:43.667Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:44.173Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:44.678Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:45.185Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:45.702Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:46.217Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:46.734Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:47.247Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:47.759Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:48.274Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:48.791Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:49.304Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:49.808Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:50.321Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:50.836Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:51.349Z | ERROR | Redis Client Error: AggregateError
2025-05-30T04:46:51.853Z | ERROR | Redis Client Error: AggregateError
